R606697,R853780
R893217,R614924
R519331,R401670
R777739,R116899
R978302,R961273
R889425,R885048
R200107,R293705
R528755,R674003
R236354,R862024
R586546,R781997
R537071,R732877
R202706,R613964
R848467,R563627
R964852,R409099
R362640,R286784
R349111,R738025
R776075,R337394
R543791,R551395
R431796,R810006
R838139,R671392
R201337,R526618
R416107,R755924
R854275,R185813
R470195,R966254
R949879,R133026
R482079,R434367
R789318,R148046
R777985,R775085
R947673,R483917
R984147,R158664
R664780,R361128
R399686,R291546
R772032,R478746
R136486,R819183
R542414,R327983
R466065,R617923
R745164,R105886
R558722,R639367
R699803,R112004
R803029,R461424
R779227,R674121
R359943,R968979
R277283,R539801
R125270,R783834
R227447,R106599
R602636,R139915
R487554,R272085
R226784,R571929
R643594,R653029
R397012,R189856
R211536,R104355
R552826,R190482
R430303,R580412
R598232,R614932
R573390,R850933
R690046,R439397
R151296,R895697
R785430,R234199
R435513,R214177
R795661,R371163
R995184,R177761
R431298,R473795
R153502,R691356
R771778,R309302
R590340,R631150
R173171,R743588
R675689,R528118
R880872,R618376
R616540,R371067
R839895,R317753
R737489,R719170
R969261,R837580
R674155,R274543
R485825,R502859
R100794,R629774
R992226,R937758
R185381,R549614
R450967,R652761
R966163,R823404
R419279,R726089
R516609,R269447
R556947,R820801
R710713,R253847
R252633,R827313
R661740,R397084
R129147,R635414
R120596,R397302
R674247,R817496
R638007,R466618
R643801,R332884
R172649,R946557
R977496,R269617
R113639,R865101
R749287,R572688
R427486,R811632
R937459,R127302
R475450,R752792
R715155,R302256
R352161,R373334
R245142,R506502
R988840,R677417
R730560,R274313
R832306,R508531
R263526,R732916
R486797,R844925
R624459,R132655
R143789,R585883
R694220,R752411
R177612,R607135
R140754,R650680
R733467,R492647
R134040,R283849
R404466,R537564
R668037,R367536
R790478,R120436
R727986,R400909
R532583,R574566
R114662,R130178
R286044,R401531
R756104,R843237
R193351,R563554
R900808,R262472
R698413,R824992
R613025,R107217
R806799,R397193
R726820,R782633
R760652,R610546
R694784,R258996
R632064,R795244
R938712,R730489
R896579,R953086
R917926,R147831
R501021,R865796
R853430,R718521
R793676,R839635
R297155,R452292
R157630,R861486
R983681,R769885
R928923,R866438
R282691,R273877
R943782,R244623
R705368,R410840
R566786,R668297
R461134,R822061
R891278,R927210
R648446,R184805
R488909,R427724
R663037,R852717
R108354,R728835
R175762,R878609
R785960,R203753
R966297,R999419
R408378,R575774
R333533,R318206
R965397,R671011
R292732,R309303
R105031,R962970
R953614,R628778
R331822,R923888
R148026,R372212
R729274,R167645
R170340,R718311
R900550,R841228
R803649,R967053
R654508,R293715
R836441,R235773
R878925,R335073
R369484,R991693
R986725,R445515
R322435,R443442
R943942,R760165
R255490,R515537
R427981,R468214
R459421,R797568
R180995,R498007
R955655,R335264
R266298,R279662
R116446,R908695
R680523,R970301
R240500,R798796
R652109,R108607
R819143,R447558
R542722,R716286
R117975,R989512
R612219,R750652
R775486,R471198
R187656,R889947
R964796,R159113
R914823,R694792
R946028,R345487
R730719,R150529
R802640,R156257
R268761,R927981
R797982,R267224
R189428,R693057
R960493,R758617
R450774,R376240
R491758,R962262
R758502,R431289
R148510,R694408
R581614,R461686
R703320,R472584
